# File Name                                 Expansion   Class Type                      Class Name   Card Name                            Card #   Printflag
rv-catalyzing-amulet-1.png,                 core,       merchant-level-1-armor,         xxxxx,       catalyzing amulet,                   i-097,   1
rv-gallant-crown.png,                       core,       reward-armor,                   xxxxx,       gallant crown,                       i-137,   1
rv-gruv-scale-mail.png,                     core,       reward-armor,                   xxxxx,       gruv scale-mail,                     i-135,   1
rv-miasma-cape.png,                         core,       reward-armor,                   xxxxx,       miasma cape,                         i-136,   1
rv-reward-armor-back.png,                   core,       reward-armor,                   xxxxx,       reward armor back,                   i-###,   2
rv-thick-briarshawl.png,                    core,       reward-armor,                   xxxxx,       thick briarshawl,                    i-141,   1
rv-thundering-hikers.png,                   core,       reward-armor,                   xxxxx,       thundering hikers,                   i-140,   1
rv-twisted-chargers.png,                    core,       reward-armor,                   xxxxx,       twisted chargers,                    i-139,   1
rv-zyderos-cuirass.png,                     core,       reward-armor,                   xxxxx,       zyderos cuirass,                     i-142,   1
rv-cutting-galewing.png,                    core,       reward-weapons,                 xxxxx,       cutting galewing,                    i-081,   1
rv-ezmenite-guard.png,                      core,       reward-weapons,                 xxxxx,       ezmenite guard,                      i-089,   1
rv-ezmenite-lance.png,                      core,       reward-weapons,                 xxxxx,       ezmenite lance,                      i-083,   1
rv-mercurial-bough.png,                     core,       reward-weapons,                 xxxxx,       mercurial bough,                     i-085,   1
rv-rakifas-garrote.png,                     core,       reward-weapons,                 xxxxx,       rakifa's garrote,                    i-086,   1
rv-reward-weapons-back.png,                 core,       reward-weapons,                 xxxxx,       reward weapons back,                 i-###,   2
rv-scour-brand.png,                         core,       reward-weapons,                 xxxxx,       scour brand,                         i-084,   1
rv-tendervine-ward.png,                     core,       reward-weapons,                 xxxxx,       tendervine ward,                     i-082,   1
rv-uzems-judgement.png,                     core,       reward-weapons,                 xxxxx,       uzem's judgement,                    i-088,   1
rv-zaghans-limb.png,                        core,       reward-weapons,                 xxxxx,       zaghan's limb,                       i-087,   1
rv-zeepurahs-piercer.png,                   core,       reward-weapons,                 xxxxx,       zeepurah's piercer,                  i-090,   1
rv-diduma-leaders.png,                      core,       secret-stash,                   xxxxx,       diduma leaders,                      i-095,   1
rv-frozen-lattice.png,                      core,       secret-stash,                   xxxxx,       frozen lattice,                      i-091,   1
rv-radula-launcher.png,                     core,       secret-stash,                   xxxxx,       radula launcher,                     i-096,   1
rv-secret-stash-back.png,                   core,       secret-stash,                   xxxxx,       secret stash back,                   i-###,   2
rv-streaming-levants.png,                   core,       secret-stash,                   xxxxx,       streaming levants,                   i-093,   1
rv-tectonic-lambast.png,                    core,       secret-stash,                   xxxxx,       tectonic lambast,                    i-094,   1
rv-vulcan-lash.png,                         core,       secret-stash,                   xxxxx,       vulcan lash,                         i-092,   1
rv-powdered-drakaen-1.png,                  core,       starting-consumables,           xxxxx,       powdered drakaen,                    i-145,   1
rv-powdered-drakaen-2.png,                  core,       starting-consumables,           xxxxx,       powdered drakaen,                    i-146,   3
rv-powdered-drakaen-3.png,                  core,       starting-consumables,           xxxxx,       powdered drakaen,                    i-147,   3
rv-powdered-drakaen-4.png,                  core,       starting-consumables,           xxxxx,       powdered drakaen,                    i-148,   3
rv-starting-consumables-back.png,           core,       starting-consumables,           xxxxx,       starting consumables back,           i-###,   2
rv-starting-weapons-back.png,               core,       starting-weapons,               xxxxx,       starting weapons back,               i-###,   2
rv-stripped-axe-1.png,                      core,       starting-weapons,               xxxxx,       stripped axe,                        i-005,   1
rv-stripped-axe-2.png,                      core,       starting-weapons,               xxxxx,       stripped axe,                        i-006,   3
rv-stripped-blade-1.png,                    core,       starting-weapons,               xxxxx,       stripped blade,                      i-001,   1
rv-stripped-blade-2.png,                    core,       starting-weapons,               xxxxx,       stripped blade,                      i-002,   3
rv-stripped-bow-1.png,                      core,       starting-weapons,               xxxxx,       stripped bow,                        i-007,   1
rv-stripped-bow-2.png,                      core,       starting-weapons,               xxxxx,       stripped bow,                        i-008,   3
rv-stripped-spear-1.png,                    core,       starting-weapons,               xxxxx,       stripped spear,                      i-003,   1
rv-stripped-spear-2.png,                    core,       starting-weapons,               xxxxx,       stripped spear,                      i-004,   3
rv-stripped-staff-1.png,                    core,       starting-weapons,               xxxxx,       stripped staff,                      i-009,   1
rv-stripped-staff-2.png,                    core,       starting-weapons,               xxxxx,       stripped staff,                      i-010,   3
rv-corded-synapse.png,                      xulc,       xulc-armor,                     xxxxx,       corded synapse,                      i-275,   1
rv-flagellator-crest.png,                   xulc,       xulc-armor,                     xxxxx,       flagellator crest,                   i-271,   1
rv-fortified-exoskeleton.png,               xulc,       xulc-armor,                     xxxxx,       fortified exoskeleton,               i-273,   1
rv-gas-bladder.png,                         xulc,       xulc-armor,                     xxxxx,       gas bladder,                         i-272,   1
rv-hydrofuge-tentacles.png,                 xulc,       xulc-armor,                     xxxxx,       hydrofuge tentacles,                 i-274,   1
rv-neural-mesh.png,                         xulc,       xulc-armor,                     xxxxx,       neural mesh,                         i-270,   1
rv-xulc-armor-back.png,                     xulc,       xulc-armor,                     xxxxx,       xulc armor back,                     i-###,   2
rv-dimming-stone-1.png,                     xulc,       xulc-consumables,               xxxxx,       dimming stone,                       i-278,   1
rv-dimming-stone-2.png,                     xulc,       xulc-consumables,               xxxxx,       dimming stone,                       i-279,   3
rv-larva-cultivar-1.png,                    xulc,       xulc-consumables,               xxxxx,       larva cultivar,                      i-282,   1
rv-larva-cultivar-2.png,                    xulc,       xulc-consumables,               xxxxx,       larva cultivar,                      i-283,   3
rv-parasitic-strand-1.png,                  xulc,       xulc-consumables,               xxxxx,       parasitic strand,                    i-276,   1
rv-parasitic-strand-2.png,                  xulc,       xulc-consumables,               xxxxx,       parasitic strand,                    i-277,   3
rv-stifling-serum-1.png,                    xulc,       xulc-consumables,               xxxxx,       stifling serum,                      i-280,   1
rv-stifling-serum-2.png,                    xulc,       xulc-consumables,               xxxxx,       stifling serum,                      i-281,   3
rv-xulc-consumables-back.png,               xulc,       xulc-consumables,               xxxxx,       xulc consumables back,               i-###,   2
rv-bone-spike.png,                          xulc,       xulc-weapons,                   xxxxx,       bone spike,                          i-285,   1
rv-cartilage-reaver.png,                    xulc,       xulc-weapons,                   xxxxx,       cartilage reaver,                    i-284,   1
rv-exoskeletal-sheath.png,                  xulc,       xulc-weapons,                   xxxxx,       exoskeletal sheath,                  i-288,   1
rv-expulsion-gland.png,                     xulc,       xulc-weapons,                   xxxxx,       expulsion gland,                     i-286,   1
rv-gestalt-snare.png,                       xulc,       xulc-weapons,                   xxxxx,       gestalt snare,                       i-289,   1
rv-nervous-membrane.png,                    xulc,       xulc-weapons,                   xxxxx,       nervous membrane,                    i-287,   1
rv-xulc-weapons-back.png,                   xulc,       xulc-weapons,                   xxxxx,       xulc weapons back,                   i-###,   2
